Date,Rainfall,Sunshine,Humidity,Temp_mean,Temp_max,Temp_min,Year,Month
2022-06-12,0.0,12.007069444444445,74.33333333333333,29.96666666666667,35.0,25.6,2022,6
2022-06-13,0.0,11.422375925925925,74.66666666666667,30.166666666666668,35.7,25.4,2022,6
2022-06-14,2.033333333333333,10.470555555555556,78.33333333333333,29.333333333333332,36.1,24.1,2022,6
2022-06-15,0.3,8.62331111111111,79.0,29.0,34.3,24.8,2022,6
2022-06-16,1.5333333333333332,7.483697222222222,82.33333333333333,27.633333333333336,33.6,23.7,2022,6
2022-06-17,4.0,6.826011111111111,84.0,27.2,32.0,24.2,2022,6
2022-06-18,0.9,7.528873148148148,83.33333333333333,27.400000000000002,32.3,24.2,2022,6
2022-06-19,6.3999999999999995,4.395826851851852,85.66666666666667,26.599999999999998,32.0,24.3,2022,6
2022-06-20,2.8333333333333335,5.743112037037037,86.0,26.166666666666668,31.3,23.8,2022,6
2022-06-21,0.19999999999999998,5.308817592592592,83.33333333333333,26.733333333333334,33.0,23.8,2022,6
2022-06-22,0.0,11.95295277777778,78.33333333333333,28.066666666666666,32.9,24.1,2022,6
2022-06-23,0.03333333333333333,12.266460185185187,76.0,28.46666666666667,32.8,24.6,2022,6
2022-06-24,0.03333333333333333,12.239717592592593,77.33333333333333,28.433333333333334,33.1,24.6,2022,6
2022-06-25,0.03333333333333333,12.22808888888889,78.0,28.366666666666664,32.5,24.7,2022,6
2022-06-26,0.0,12.32094074074074,77.0,28.96666666666667,33.6,25.0,2022,6
2022-06-27,0.0,12.319510185185186,75.0,29.266666666666666,34.4,25.2,2022,6
2022-06-28,0.0,12.016739814814818,77.33333333333333,28.933333333333334,33.7,24.7,2022,6
2022-06-29,0.03333333333333333,12.207412962962962,78.33333333333333,28.8,33.0,25.1,2022,6
2022-06-30,0.39999999999999997,4.161861111111111,85.0,27.166666666666668,30.6,24.8,2022,6
2022-07-01,0.0,11.789576851851853,80.0,28.333333333333332,32.7,24.6,2022,7
2022-07-02,0.03333333333333333,12.371057407407406,77.0,29.0,34.0,25.0,2022,7
2022-07-03,2.966666666666667,11.580427777777778,78.0,28.733333333333334,33.8,25.4,2022,7
2022-07-04,3.1666666666666665,10.961902777777778,77.66666666666667,29.066666666666666,34.3,24.7,2022,7
2022-07-05,0.3333333333333333,11.193862037037036,77.0,29.099999999999998,33.9,25.3,2022,7
2022-07-06,0.8666666666666667,9.022606481481482,79.33333333333333,28.666666666666668,33.0,25.4,2022,7
2022-07-07,0.0,11.758388888888888,78.0,29.0,33.9,25.4,2022,7
2022-07-08,0.0,11.977023148148149,76.66666666666667,28.900000000000002,33.7,24.7,2022,7
2022-07-09,0.0,12.314375925925924,75.33333333333333,29.066666666666666,34.4,25.0,2022,7
2022-07-10,0.03333333333333333,12.243294444444444,75.33333333333333,29.266666666666666,35.0,25.2,2022,7
2022-07-11,0.0,12.27379814814815,75.66666666666667,29.166666666666668,34.6,24.8,2022,7
2022-07-12,0.0,12.035503703703704,73.33333333333333,29.766666666666666,36.0,25.3,2022,7
2022-07-13,0.0,11.16746111111111,73.33333333333333,29.633333333333336,35.8,24.8,2022,7
2022-07-14,0.0,12.221074999999999,73.0,29.7,35.8,25.1,2022,7
2022-07-15,0.0,10.620075,73.33333333333333,29.833333333333332,35.3,25.3,2022,7
2022-07-16,0.0,12.014848148148147,72.66666666666667,29.96666666666667,36.1,25.6,2022,7
2022-07-17,0.0,11.964046296296296,74.66666666666667,29.599999999999998,34.9,25.3,2022,7
2022-07-18,0.0,12.082256481481481,75.66666666666667,29.433333333333334,35.1,25.4,2022,7
2022-07-19,0.0,11.644833333333333,77.33333333333333,29.066666666666666,34.1,25.3,2022,7
2022-07-20,0.0,10.326739814814815,79.66666666666667,28.53333333333333,33.3,25.1,2022,7
2022-07-21,0.0,11.912325000000001,77.0,29.333333333333332,33.6,25.5,2022,7
2022-07-22,0.03333333333333333,11.976925925925926,76.33333333333333,29.366666666666664,35.5,25.2,2022,7
2022-07-23,0.0,11.78682962962963,78.0,28.46666666666667,34.8,24.6,2022,7
2022-07-24,4.466666666666667,8.537208333333334,80.66666666666667,27.400000000000002,32.5,24.0,2022,7
2022-07-25,0.43333333333333335,6.9441296296296295,81.66666666666667,26.8,29.9,24.0,2022,7
2022-07-26,0.0,10.844618518518518,74.66666666666667,28.166666666666668,32.2,24.1,2022,7
2022-07-27,0.0,11.40636851851852,71.33333333333333,29.46666666666667,33.9,24.9,2022,7
2022-07-28,0.0,10.380010185185185,69.33333333333333,30.0,35.3,25.3,2022,7
2022-07-29,0.0,11.725405555555554,72.0,30.0,35.5,25.7,2022,7
2022-07-30,0.0,10.696650925925924,72.33333333333333,30.0,35.6,26.0,2022,7
2022-07-31,0.0,10.540280555555556,73.33333333333333,29.8,35.1,25.8,2022,7
2022-08-01,0.0,11.153936111111113,74.0,29.633333333333336,34.2,25.9,2022,8
2022-08-02,0.06666666666666667,12.041988888888888,75.33333333333333,29.766666666666666,34.0,25.9,2022,8
2022-08-03,0.03333333333333333,7.456756481481481,78.33333333333333,28.46666666666667,32.2,25.4,2022,8
2022-08-04,0.0,10.660073148148149,76.33333333333333,29.266666666666666,34.1,25.2,2022,8
2022-08-05,0.0,11.899466666666667,77.0,29.400000000000002,34.6,25.5,2022,8
2022-08-06,0.13333333333333333,9.41939537037037,79.33333333333333,28.53333333333333,31.7,25.1,2022,8
2022-08-07,0.0,11.829458333333335,76.0,29.366666666666664,35.2,24.8,2022,8
2022-08-08,0.0,10.841334259259261,77.66666666666667,28.766666666666666,34.4,24.4,2022,8
2022-08-09,0.03333333333333333,8.811433333333333,79.33333333333333,27.666666666666668,32.4,24.7,2022,8
2022-08-10,23.13333333333333,7.020712037037037,81.66666666666667,27.266666666666666,31.1,25.0,2022,8
2022-08-11,3.266666666666667,7.711653703703703,84.33333333333333,26.933333333333334,30.9,24.7,2022,8
2022-08-12,0.06666666666666667,11.240172222222222,78.33333333333333,28.46666666666667,33.5,24.3,2022,8
2022-08-13,0.8000000000000002,10.83305185185185,78.0,28.233333333333334,33.8,24.6,2022,8
2022-08-14,4.1000000000000005,2.5758944444444447,82.66666666666667,26.933333333333334,30.0,25.1,2022,8
2022-08-15,0.0,11.80083611111111,78.33333333333333,28.53333333333333,33.7,24.8,2022,8
2022-08-16,0.03333333333333333,10.218412962962963,74.0,29.3,34.9,25.1,2022,8
2022-08-17,0.03333333333333333,9.794786111111112,68.0,30.7,35.5,25.4,2022,8
2022-08-18,1.3,10.423537037037036,69.0,30.599999999999998,38.5,25.4,2022,8
2022-08-19,0.0,8.929977777777777,74.33333333333333,28.53333333333333,34.3,25.6,2022,8
2022-08-20,0.0,11.741707407407409,77.33333333333333,28.833333333333332,33.5,25.1,2022,8
2022-08-21,0.06666666666666667,11.984778703703704,76.0,29.233333333333334,34.3,25.2,2022,8
2022-08-22,2.466666666666667,10.796887962962964,73.33333333333333,29.7,36.2,24.9,2022,8
2022-08-23,1.4000000000000001,8.622627777777778,82.0,27.766666666666666,31.4,24.4,2022,8
2022-08-24,0.0,11.31291574074074,78.66666666666667,28.066666666666666,32.5,24.5,2022,8
2022-08-25,0.0,11.246414814814814,72.0,29.099999999999998,35.5,25.0,2022,8
2022-08-26,0.03333333333333333,10.283323148148149,72.33333333333333,29.5,34.6,25.8,2022,8
2022-08-27,0.0,5.4810740740740735,79.66666666666667,27.566666666666666,32.8,23.5,2022,8
2022-08-28,0.03333333333333333,9.853300925925927,79.33333333333333,28.166666666666668,32.6,23.9,2022,8
2022-08-29,0.0,11.893992592592591,72.66666666666667,29.5,34.7,24.8,2022,8
2022-08-30,0.0,10.354016666666666,71.66666666666667,29.733333333333334,34.7,25.2,2022,8
2022-08-31,0.0,11.570869444444446,72.33333333333333,29.76666666666667,35.4,25.3,2022,8
2022-09-01,0.0,11.013090740740742,73.66666666666667,29.7,34.7,25.3,2022,9
2022-09-02,0.0,10.882686111111111,72.0,29.766666666666666,34.5,24.6,2022,9
2022-09-03,0.0,11.59168611111111,75.0,29.400000000000002,34.1,24.4,2022,9
2022-09-04,0.0,11.47415925925926,77.0,29.3,34.4,25.0,2022,9
2022-09-05,0.0,10.994443518518517,77.0,29.166666666666668,34.6,24.9,2022,9
2022-09-06,0.0,9.34351388888889,77.0,29.166666666666668,33.9,25.1,2022,9
2022-09-07,0.0,10.81162685185185,71.66666666666667,30.433333333333334,35.8,25.2,2022,9
2022-09-08,0.03333333333333333,10.760009259259258,72.0,30.3,36.5,25.0,2022,9
2022-09-09,0.0,10.258312962962963,73.66666666666667,29.733333333333334,35.9,24.8,2022,9
2022-09-10,3.4,9.969838888888889,80.0,28.03333333333333,33.3,24.0,2022,9
2022-09-11,57.166666666666664,2.5988453703703702,90.66666666666667,25.3,28.7,23.8,2022,9
2022-09-12,47.300000000000004,0.0,93.66666666666667,24.599999999999998,26.1,23.7,2022,9
2022-09-13,8.466666666666667,2.85575,91.0,25.066666666666666,28.2,23.8,2022,9
2022-09-14,4.866666666666667,6.488833333333335,89.33333333333333,25.53333333333333,29.2,22.9,2022,9
2022-09-15,0.03333333333333333,11.414416666666666,84.0,26.7,31.6,23.1,2022,9
2022-09-16,0.03333333333333333,11.272919444444446,80.66666666666667,27.733333333333334,31.8,23.5,2022,9
2022-09-17,0.0,11.46140648148148,77.33333333333333,28.599999999999998,33.6,24.3,2022,9
2022-09-18,7.6000000000000005,9.647092592592593,77.66666666666667,28.833333333333332,34.6,24.6,2022,9
2022-09-19,4.466666666666666,9.636922222222223,81.0,27.833333333333332,32.3,24.1,2022,9
2022-09-20,0.03333333333333333,11.41652685185185,79.66666666666667,27.96666666666667,32.2,24.2,2022,9
2022-09-21,0.0,11.429828703703704,79.33333333333333,28.133333333333336,33.3,24.2,2022,9
2022-09-22,0.0,10.086509259259259,79.33333333333333,28.066666666666666,33.3,24.3,2022,9
2022-09-23,0.03333333333333333,9.676532407407407,77.66666666666667,27.933333333333334,33.9,23.6,2022,9
2022-09-24,0.0,10.543991666666665,75.33333333333333,28.2,33.6,23.6,2022,9
2022-09-25,0.03333333333333333,10.952113888888888,75.0,28.433333333333334,32.8,24.5,2022,9
2022-09-26,0.03333333333333333,10.773712037037036,76.0,28.400000000000002,33.4,24.2,2022,9
2022-09-27,0.03333333333333333,10.98965925925926,78.33333333333333,28.266666666666666,33.6,24.3,2022,9
2022-09-28,0.0,9.861349074074075,75.66666666666667,28.666666666666668,34.3,24.0,2022,9
2022-09-29,0.0,11.034233333333333,72.0,29.53333333333333,35.5,24.1,2022,9
2022-09-30,0.19999999999999998,10.866016666666667,73.33333333333333,29.5,35.8,24.6,2022,9
2022-10-01,12.933333333333332,8.86169351851852,77.33333333333333,28.633333333333336,35.0,24.3,2022,10
2022-10-02,0.3333333333333333,6.507132407407407,86.0,26.666666666666668,31.7,24.0,2022,10
2022-10-03,0.09999999999999999,9.058317592592593,86.0,26.8,30.2,23.8,2022,10
2022-10-04,4.366666666666666,9.819523148148148,82.33333333333333,27.233333333333334,30.6,23.2,2022,10
2022-10-05,0.03333333333333333,9.537107407407406,81.0,27.400000000000002,32.6,23.2,2022,10
2022-10-06,0.0,10.799395370370371,77.33333333333333,27.733333333333334,33.0,23.4,2022,10
2022-10-07,0.0,10.752369444444446,75.0,28.266666666666666,32.8,23.4,2022,10
2022-10-08,0.06666666666666667,10.841700925925926,75.66666666666667,28.433333333333334,33.7,24.2,2022,10
2022-10-09,0.0,10.737593518518517,75.66666666666667,28.2,34.4,24.0,2022,10
2022-10-10,0.03333333333333333,10.26330462962963,76.66666666666667,27.96666666666667,32.7,23.5,2022,10
2022-10-11,0.2333333333333333,10.736512037037036,81.0,27.099999999999998,32.8,23.2,2022,10
2022-10-12,0.0,10.801453703703706,80.0,27.2,32.6,23.3,2022,10
2022-10-13,0.0,10.441626851851852,77.33333333333333,27.400000000000002,33.2,23.4,2022,10
2022-10-14,0.0,9.566399074074074,77.0,27.566666666666666,32.5,23.4,2022,10
2022-10-15,0.0,10.762232407407408,72.0,27.400000000000002,32.8,22.8,2022,10
2022-10-16,0.0,10.750164814814815,66.33333333333333,26.733333333333334,33.0,22.2,2022,10
2022-10-17,0.0,10.738013888888888,70.0,26.7,32.6,22.0,2022,10
2022-10-18,0.0,10.73272685185185,70.66666666666667,27.0,32.8,22.1,2022,10
2022-10-19,0.0,10.403659259259259,72.0,26.633333333333336,32.6,22.0,2022,10
2022-10-20,0.0,10.709857407407407,69.66666666666667,26.633333333333336,33.0,22.0,2022,10
2022-10-21,0.0,10.701882407407409,68.0,27.2,34.3,21.8,2022,10
2022-10-22,0.0,10.693543518518519,66.33333333333333,28.03333333333333,34.6,22.5,2022,10
2022-10-23,17.166666666666668,1.2205916666666667,80.0,25.0,28.3,21.7,2022,10
2022-10-24,182.4,0.36437407407407413,92.33333333333333,22.53333333333333,27.1,19.9,2022,10
2022-10-25,0.0,9.20042962962963,83.0,23.8,27.6,20.6,2022,10
2022-10-26,0.0,10.642797222222223,73.33333333333333,24.96666666666667,30.5,19.7,2022,10
2022-10-27,0.0,9.997147222222223,70.0,24.7,30.8,19.1,2022,10
2022-10-28,0.0,10.616251851851851,70.66666666666667,24.3,30.3,19.1,2022,10
2022-10-29,0.0,10.599489814814815,71.66666666666667,24.96666666666667,31.5,19.0,2022,10
2022-10-30,0.0,10.582839814814815,71.33333333333333,25.666666666666668,31.9,19.8,2022,10
2022-10-31,0.0,10.564332407407408,73.33333333333333,26.3,32.1,21.5,2022,10
2022-11-01,0.0,10.54420925925926,71.66666666666667,26.7,32.5,22.2,2022,11
2022-11-02,0.0,10.524139814814815,69.33333333333333,26.333333333333332,31.8,21.8,2022,11
2022-11-03,0.0,10.451234259259259,67.0,25.03333333333333,30.1,20.1,2022,11
2022-11-04,0.0,10.417553703703703,65.66666666666667,24.633333333333336,30.6,19.9,2022,11
2022-11-05,0.0,10.464462962962962,64.33333333333333,24.96666666666667,31.6,19.9,2022,11
2022-11-06,0.0,10.444819444444445,66.33333333333333,24.900000000000002,31.3,19.2,2022,11
2022-11-07,0.0,10.425337037037037,65.0,24.566666666666666,31.1,19.0,2022,11
2022-11-08,0.0,10.406036111111112,65.0,24.5,31.2,19.1,2022,11
2022-11-09,0.0,10.321338888888889,64.0,24.266666666666666,30.6,18.7,2022,11
